case_type,tag,track_index,track_id,clip_id,audio_path,tag_probability,true_label,top_pred_tags,true_tags,saliency_plot,likely_reason
false_positive_like,soft,316,http://he3.magnatune.com/all/08-Vulkanmusik-Hans%20Christian.mp3,38192,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\f\hans_christian-surrender-08-vulkanmusik-0-29.mp3,0.3091682195663452,0,"ambient,quiet,slow,classical,synth","slow,electronic,ambient,no vocals,quiet",artifacts\analysis\plots\failure_saliency_316_soft.png,cooccurrence_or_timbre_bias
false_positive_like,solo,208,http://he3.magnatune.com/all/05-Prelude%20Op.28%20No.10%20in%20c%20minor-Janine%20Johnson.mp3,23932,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\a\janine_johnson-chopin_recital-05-prelude_op_28_no_10_in_c_minor-0-29.mp3,0.2763676345348358,0,"piano,classical,slow,solo,classic","classical,fast,piano",artifacts\analysis\plots\failure_saliency_208_solo.png,cooccurrence_or_timbre_bias
false_positive_like,sitar,250,http://he3.magnatune.com/all/06-Septennial%20Constellations-Jamie%20Janover.mp3,28856,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\c\jamie_janover-now_center_of_time-06-septennial_constellations-30-59.mp3,0.27372831106185913,0,"piano,guitar,classical,fast,slow","guitar,classical,strings,fast,piano,no vocals,solo,classic,harp,no voice",artifacts\analysis\plots\failure_saliency_250_sitar.png,cooccurrence_or_timbre_bias
false_positive_like,voice,410,http://he3.magnatune.com/all/12-Bozha%20Zvezda%20(Bulgarian%20Macedonia)-Kitka.mp3,47700,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\d\kitka-wintersongs-12-bozha_zvezda_bulgarian_macedonia-30-59.mp3,0.24794015288352966,0,"opera,female,vocal,singing,woman","slow,vocal,female,indian,singing,vocals,choir,female vocal",artifacts\analysis\plots\failure_saliency_410_voice.png,cooccurrence_or_timbre_bias
false_positive_like,weird,31,http://he3.magnatune.com/all/01-Sahel%20Codec-DAC%20Crowell%20.mp3,4115,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\1\dac_crowell-sferica-01-sahel_codec-30-59.mp3,0.16875582933425903,0,"ambient,slow,quiet,choir,electronic","ambient,synth,quiet",artifacts\analysis\plots\failure_saliency_31_weird.png,cooccurrence_or_timbre_bias
false_positive_like,no vocals,485,http://he3.magnatune.com/all/17-Everpresent-Etherine.mp3,54361,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\1\etherine-24_days-17-everpresent-0-29.mp3,0.1390208601951599,0,"drums,beat,techno,electronic,ambient","slow,techno,strings,electronic,fast,ambient,beat,synth,loud,new age,no voice",artifacts\analysis\plots\failure_saliency_485_no_vocals.png,cooccurrence_or_timbre_bias
false_positive_like,no vocal,485,http://he3.magnatune.com/all/17-Everpresent-Etherine.mp3,54361,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\1\etherine-24_days-17-everpresent-0-29.mp3,0.10981380194425583,0,"drums,beat,techno,electronic,ambient","slow,techno,strings,electronic,fast,ambient,beat,synth,loud,new age,no voice",artifacts\analysis\plots\failure_saliency_485_no_vocal.png,cooccurrence_or_timbre_bias
false_positive_like,no voice,104,http://he3.magnatune.com/all/03-Intimate-Human%20Response.mp3,13429,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\4\human_response-delirious-03-intimate-0-29.mp3,0.08267061412334442,0,"techno,ambient,fast,electronic,slow","slow,techno,strings,drums,electronic,fast,ambient,synth,no vocals,quiet,weird",artifacts\analysis\plots\failure_saliency_104_no_voice.png,cooccurrence_or_timbre_bias
false_negative_like,soft,327,http://he3.magnatune.com/all/09-Dancing%20at%20the%20Temple%20Gate-Jami%20Sieber.mp3,39012,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\2\jami_sieber-lush_mechanique-09-dancing_at_the_temple_gate-30-59.mp3,0.06096966192126274,1,"drums,beat,ambient,guitar,electronic","strings,drums,beat,vocal,female,indian,no vocals,soft,no voice",artifacts\analysis\plots\failure_saliency_327_soft.png,insufficient_context_or_weak_supervision
false_negative_like,no vocals,127,http://he3.magnatune.com/all/03-We%20Fell%20Like%20Rain-Rapoon.mp3,16070,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\4\rapoon-the_kirghiz_light__cd_1-03-we_fell_like_rain-59-88.mp3,0.05225411430001259,1,"ambient,slow,choir,electronic,quiet","electronic,ambient,no vocals,choir,new age,female vocal,weird,choral",artifacts\analysis\plots\failure_saliency_127_no_vocals.png,insufficient_context_or_weak_supervision
false_negative_like,no vocal,447,http://he3.magnatune.com/all/14-Blaudisco-Strojovna%2007.mp3,51171,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\c\strojovna_07-number_1-14-blaudisco-30-59.mp3,0.03409615531563759,1,"techno,fast,beat,drums,electronic","techno,drums,electronic,fast,beat,no vocal",artifacts\analysis\plots\failure_saliency_447_no_vocal.png,insufficient_context_or_weak_supervision
false_negative_like,weird,347,http://he3.magnatune.com/all/09-wet%20dog-Drop%20Trio.mp3,41666,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\6\drop_trio-cezanne-09-wet_dog-0-29.mp3,0.02976430207490921,1,"piano,rock,guitar,fast,drums","slow,drums,rock,fast,piano,synth,no vocals,weird",artifacts\analysis\plots\failure_saliency_347_weird.png,insufficient_context_or_weak_supervision
false_negative_like,no voice,231,http://he3.magnatune.com/all/06-Hideaway-William%20Brooks.mp3,27308,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\c\william_brooks-fowl_mouth-06-hideaway-0-29.mp3,0.02375626377761364,1,"guitar,male,classical,rock,male vocal","guitar,slow,rock,vocal,male,singing,vocals,woman,male vocal,pop,man,voice,male voice,no voice,country",artifacts\analysis\plots\failure_saliency_231_no_voice.png,insufficient_context_or_weak_supervision
false_negative_like,voice,278,http://he3.magnatune.com/all/07-Mine%20tonite-Rocket%20City%20Riot.mp3,32365,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\7\rocket_city_riot-pop_killer-07-mine_tonite-30-59.mp3,0.023219257593154907,1,"rock,metal,guitar,loud,fast","guitar,rock,vocal,vocals,loud,voice",artifacts\analysis\plots\failure_saliency_278_voice.png,insufficient_context_or_weak_supervision
false_negative_like,sitar,76,http://he3.magnatune.com/all/02-Sonate%20in%20C%20major_%20Toccata%20Volta%20Volta-Paul%20Beier.mp3,10034,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\6\paul_beier-michelagnolo_galilei-02-sonate_in_c_major_toccata_volta_volta-88-117.mp3,0.013249291107058525,1,"guitar,classical,slow,piano,harpsichord","guitar,classical,slow,strings,harpsichord,sitar,harp",artifacts\analysis\plots\failure_saliency_76_sitar.png,insufficient_context_or_weak_supervision
false_negative_like,solo,332,http://he3.magnatune.com/all/09-Jidah%20noh-Tim%20Rayborn.mp3,39701,C:\Users\sasha\Desktop\Data Science\AML\Project\MTAT\4\tim_rayborn-the_path_beyond-09-jidah_noh-30-59.mp3,0.008212757296860218,1,"drums,techno,beat,fast,electronic","drums,fast,beat,solo",artifacts\analysis\plots\failure_saliency_332_solo.png,insufficient_context_or_weak_supervision
